29;Пушкинская;{"city": "Харьков", "line": {"id": 60, "name": "Салтовская линия", "hex-color": "069CD3"}, "id": 60.391, "name": "Пушкинская", "double": "true", "lat": 50.003685, "lng": 36.247489}
30;Университет;{"city": "Харьков", "line": {"id": 60, "name": "Салтовская линия", "hex-color": "069CD3"}, "id": 60.392, "name": "Университет", "double": "true", "lat": 50.004501, "lng": 36.233781}
31;Исторический музей;{"city": "Харьков", "line": {"id": 60, "name": "Салтовская линия", "hex-color": "069CD3"}, "id": 60.393, "name": "Исторический музей", "lat": 49.992926, "lng": 36.231211}
32;Алексеевская;{"city": "Харьков", "line": {"id": 61, "name": "Алексеевская", "hex-color": "0A6F20"}, "id": 61.394, "name": "Алексеевская", "double": "true", "lat": 50.0496, "lng": 36.20666}
33;23 Августа;{"city": "Харьков", "line": {"id": 61, "name": "Алексеевская", "hex-color": "0A6F20"}, "id": 61.395, "name": "23 Августа", "lat": 50.035524, "lng": 36.220279}
34;Ботанический сад;{"city": "Харьков", "line": {"id": 61, "name": "Алексеевская", "hex-color": "0A6F20"}, "id": 61.396, "name": "Ботанический сад", "double": "true", "lat": 50.026659, "lng": 36.222938}
35;Научная;{"city": "Харьков", "line": {"id": 61, "name": "Алексеевская", "hex-color": "0A6F20"}, "id": 61.397, "name": "Научная", "lat": 50.013, "lng": 36.226962}
36;Госпром;{"city": "Харьков", "line": {"id": 61, "name": "Алексеевская", "hex-color": "0A6F20"}, "id": 61.398, "name": "Госпром", "lat": 50.004797, "lng": 36.231571}
37;Архитектора Бекетова;{"city": "Харьков", "line": {"id": 61, "name": "Алексеевская", "hex-color": "0A6F20"}, "id": 61.399, "name": "Архитектора Бекетова", "lat": 49.998966, "lng": 36.240518}
38;Площадь Восстания;{"city": "Харьков", "line": {"id": 61, "name": "Алексеевская", "hex-color": "0A6F20"}, "id": 61.400, "name": "Площадь Восстания", "double": "true", "lat": 49.988652, "lng": 36.264808}
39;Метростроителей имени Ващенко;{"city": "Харьков", "line": {"id": 61, "name": "Алексеевская", "hex-color": "0A6F20"}, "id": 61.401, "name": "Метростроителей имени Ващенко", "lat": 49.978915, "lng": 36.262823}
40;Райымбек батыра;{"city": "Алматы", "line": {"id": 64, "name": "Первая", "hex-color": "CD0505"}, "id": 64.430, "name": "Райымбек батыра", "lat": 43.271201, "lng": 76.9448}
41;Жибек Жолы;{"city": "Алматы", "line": {"id": 64, "name": "Первая", "hex-color": "CD0505"}, "id": 64.431, "name": "Жибек Жолы", "lat": 43.260199, "lng": 76.946103}
42;Алмалы;{"city": "Алматы", "line": {"id": 64, "name": "Первая", "hex-color": "CD0505"}, "id": 64.432, "name": "Алмалы", "lat": 43.251295, "lng": 76.945456}
43;Абая;{"city": "Алматы", "line": {"id": 64, "name": "Первая", "hex-color": "CD0505"}, "id": 64.433, "name": "Абая", "lat": 43.242548, "lng": 76.949588}
44;Байконур;{"city": "Алматы", "line": {"id": 64, "name": "Первая", "hex-color": "CD0505"}, "id": 64.434, "name": "Байконур", "lat": 43.240401, "lng": 76.927696}
45;Драмтеатр имени Ауэзова;{"city": "Алматы", "line": {"id": 64, "name": "Первая", "hex-color": "CD0505"}, "id": 64.435, "name": "Драмтеатр имени Ауэзова", "lat": 43.240362, "lng": 76.917519}
46;Алатау;{"city": "Алматы", "line": {"id": 64, "name": "Первая", "hex-color": "CD0505"}, "id": 64.436, "name": "Алатау", "lat": 43.239041, "lng": 76.897612}
47;Сайран;{"city": "Алматы", "line": {"id": 64, "name": "Первая", "hex-color": "CD0505"}, "id": 64.510, "name": "Сайран", "lat": 43.2362, "lng": 76.8764}
48;Москва;{"city": "Алматы", "line": {"id": 64, "name": "Первая", "hex-color": "CD0505"}, "id": 64.511, "name": "Москва", "lat": 43.23, "lng": 76.867}
49;Новокосино;{"city": "Москва", "line": {"id": 8, "name": "Калининская", "hex-color": "FFCD1C"}, "id": 8.189, "name": "Новокосино", "lat": 55.745113, "lng": 37.864052}
50;Новогиреево;{"city": "Москва", "line": {"id": 8, "name": "Калининская", "hex-color": "FFCD1C"}, "id": 8.88, "name": "Новогиреево", "lat": 55.752237, "lng": 37.814587}
51;Перово;{"city": "Москва", "line": {"id": 8, "name": "Калининская", "hex-color": "FFCD1C"}, "id": 8.107, "name": "Перово", "lat": 55.75098, "lng": 37.78422}
52;Шоссе Энтузиастов;{"city": "Москва", "line": {"id": 8, "name": "Калининская", "hex-color": "FFCD1C"}, "id": 8.158, "name": "Шоссе Энтузиастов", "double": "true", "lat": 55.75809, "lng": 37.751703}
53;Авиамоторная;{"city": "Москва", "line": {"id": 8, "name": "Калининская", "hex-color": "FFCD1C"}, "id": 8.1, "name": "Авиамоторная", "double": "true", "lat": 55.751933, "lng": 37.717444}
54;Площадь Ильича;{"city": "Москва", "line": {"id": 8, "name": "Калининская", "hex-color": "FFCD1C"}, "id": 8.112, "name": "Площадь Ильича", "lat": 55.747115, "lng": 37.680726}
55;Марксистская;{"city": "Москва", "line": {"id": 8, "name": "Калининская", "hex-color": "FFCD1C"}, "id": 8.78, "name": "Марксистская", "lat": 55.740746, "lng": 37.65604}
56;Третьяковская;{"city": "Москва", "line": {"id": 8, "name": "Калининская", "hex-color": "FFCD1C"}, "id": 8.91, "name": "Третьяковская", "double": "true", "lat": 55.741125, "lng": 37.626142}
57;Ховрино;{"city": "Москва", "line": {"id": 2, "name": "Замоскворецкая", "hex-color": "4FB04F"}, "id": 2.558, "name": "Ховрино", "lat": 55.8777, "lng": 37.4877}
58;Беломорская;{"city": "Москва", "line": {"id": 2, "name": "Замоскворецкая", "hex-color": "4FB04F"}, "id": 2.674, "name": "Беломорская", "lat": 55.8651, "lng": 37.4764}
59;Речной вокзал;{"city": "Москва", "line": {"id": 2, "name": "Замоскворецкая", "hex-color": "4FB04F"}, "id": 2.125, "name": "Речной вокзал", "double": "true", "lat": 55.854152, "lng": 37.476728}
60;Водный стадион;{"city": "Москва", "line": {"id": 2, "name": "Замоскворецкая", "hex-color": "4FB04F"}, "id": 2.29, "name": "Водный стадион", "lat": 55.838978, "lng": 37.487515}
61;Войковская;{"city": "Москва", "line": {"id": 2, "name": "Замоскворецкая", "hex-color": "4FB04F"}, "id": 2.30, "name": "Войковская", "lat": 55.818923, "lng": 37.497791}
62;Сокол;{"city": "Москва", "line": {"id": 2, "name": "Замоскворецкая", "hex-color": "4FB04F"}, "id": 2.133, "name": "Сокол", "lat": 55.805564, "lng": 37.515245}
63;Аэропорт;{"city": "Москва", "line": {"id": 2, "name": "Замоскворецкая", "hex-color": "4FB04F"}, "id": 2.12, "name": "Аэропорт", "lat": 55.800441, "lng": 37.530477}
64;Динамо;{"city": "Москва", "line": {"id": 2, "name": "Замоскворецкая", "hex-color": "4FB04F"}, "id": 2.34, "name": "Динамо", "double": "true", "lat": 55.789704, "lng": 37.558212}
65;Белорусская;{"city": "Москва", "line": {"id": 2, "name": "Замоскворецкая", "hex-color": "4FB04F"}, "id": 2.19, "name": "Белорусская", "double": "true", "lat": 55.777439, "lng": 37.582107}
